vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-03-01T00:00:00.000,2021-03-01T00:03:23.000,1,0.52,1,N,152,152,2,4.5,0.5,0.5,0,0,0.3,5.8,0
,2021-03-01T00:00:00.000,2021-03-01T00:16:00.000,,5.07,,,151,68,,28.95,2.75,0.5,0,0,0.3,32.5,0
1,2021-03-01T00:00:03.000,2021-03-01T00:17:08.000,0,4.70,1,Y,186,75,2,17,3,0.5,0,0,0.3,20.8,2.5
2,2021-03-01T00:00:23.000,2021-03-01T00:04:43.000,1,1.05,1,N,186,170,1,5.5,0.5,0.5,2.79,0,0.3,12.09,2.5
1,2021-03-01T00:00:27.000,2021-03-01T00:14:20.000,1,4.00,1,N,148,181,1,14.5,3,0.5,3.65,0,0.3,21.95,2.5
2,2021-03-01T00:00:32.000,2021-03-01T00:06:40.000,1,1.59,1,N,48,170,2,7,0.5,0.5,0,0,0.3,10.8,2.5
1,2021-03-01T00:00:41.000,2021-03-01T00:04:09.000,1,1.30,1,N,68,48,1,6,3,0.5,2.45,0,0.3,12.25,2.5
2,2021-03-01T00:00:51.000,2021-03-01T00:12:52.000,1,3.82,1,N,100,238,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,2021-03-01T00:01:08.000,2021-03-01T00:34:57.000,1,20.64,2,N,132,244,1,52,0,0.5,11.78,6.12,0.3,70.7,0
2,2021-03-01T00:01:09.000,2021-03-01T00:28:39.000,1,11.72,1,N,132,36,2,35,0.5,0.5,0,0,0.3,36.3,0
2,2021-03-01T00:01:31.000,2021-03-01T00:18:34.000,1,8.68,1,N,138,263,1,25.5,0.5,0.5,5,9.5,0.3,43.8,2.5
2,2021-03-01T00:01:32.000,2021-03-01T00:14:19.000,1,8.84,1,N,138,256,2,24.5,0.5,0.5,0,0,0.3,25.8,0
2,2021-03-01T00:01:34.000,2021-03-01T00:05:34.000,1,1.13,1,N,75,41,1,5.5,0.5,0.5,0,0,0.3,6.8,0
1,2021-03-01T00:01:43.000,2021-03-01T00:18:22.000,1,5.90,1,N,186,88,1,19.5,3,0.5,4.65,0,0.3,27.95,2.5
2,2021-03-01T00:01:44.000,2021-03-01T00:24:16.000,1,8.11,1,N,137,61,1,25,0.5,0.5,3,0,0.3,31.8,2.5
2,2021-03-01T00:01:45.000,2021-03-01T00:28:34.000,1,20.02,2,N,132,244,1,52,0,0.5,3,6.12,0.3,61.92,0
2,2021-03-01T00:01:47.000,2021-03-01T00:04:47.000,1,0.73,1,N,137,162,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-03-01T00:01:52.000,2021-03-01T00:20:19.000,1,8.66,1,N,48,235,2,25,0.5,0.5,0,0,0.3,28.8,2.5
1,2021-03-01T00:02:02.000,2021-03-01T00:03:53.000,1,0.70,1,N,170,137,1,4,3,0.5,1.55,0,0.3,9.35,2.5
2,2021-03-01T00:02:06.000,2021-03-01T00:13:49.000,1,2.32,1,N,186,79,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
1,2021-03-01T00:02:07.000,2021-03-01T00:16:21.000,1,8.10,1,N,138,141,1,23,3,0.5,5.35,0,0.3,32.15,2.5
1,2021-03-01T00:02:10.000,2021-03-01T00:30:47.000,2,16.80,1,N,132,37,1,47,0.5,0.5,9.65,0,0.3,57.95,0
1,2021-03-01T00:02:11.000,2021-03-01T00:19:25.000,2,10.10,1,N,138,140,1,29.5,3,0.5,6.65,0,0.3,39.95,2.5
2,2021-03-01T00:02:13.000,2021-03-01T00:06:01.000,1,1.13,1,N,68,264,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
1,2021-03-01T00:02:18.000,2021-03-01T00:15:47.000,1,6.50,1,N,48,244,2,20,3,0.5,0,0,0.3,23.8,2.5
2,2021-03-01T00:02:21.000,2021-03-01T00:10:03.000,2,1.24,1,N,90,170,2,7,0.5,0.5,0,0,0.3,10.8,2.5
1,2021-03-01T00:02:33.000,2021-03-01T00:17:26.000,1,5.00,1,N,209,100,1,17.5,3,0.5,4.25,0,0.3,25.55,2.5
2,2021-03-01T00:02:40.000,2021-03-01T00:06:12.000,1,0.91,1,N,68,230,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-03-01T00:02:50.000,2021-03-01T00:21:20.000,1,12.40,1,N,132,157,2,33.5,0.5,0.5,0,0,0.3,34.8,0
1,2021-03-01T00:02:53.000,2021-03-01T00:18:03.000,1,10.20,1,N,138,138,1,28.5,0.5,0.5,6.45,2.5,0.3,38.75,0
2,2021-03-01T00:02:55.000,2021-03-01T00:18:46.000,2,4.69,1,N,48,232,1,16.5,0.5,0.5,0,0,0.3,20.3,2.5
1,2021-03-01T00:02:56.000,2021-03-01T00:11:06.000,1,2.20,1,N,79,170,1,9,3,0.5,3.2,0,0.3,16,2.5
2,2021-03-01T00:02:56.000,2021-03-01T00:24:08.000,1,10.21,1,N,138,143,1,29.5,0.5,0.5,4,6.12,0.3,43.42,2.5
2,2021-03-01T00:02:56.000,2021-03-01T00:17:53.000,1,4.74,1,N,79,143,1,16,0.5,0.5,4.95,0,0.3,24.75,2.5
2,2021-03-01T00:03:01.000,2021-03-01T00:10:30.000,2,1.78,1,N,75,262,1,7.5,0.5,0.5,1.8,0,0.3,13.1,2.5
2,2021-03-01T00:03:08.000,2021-03-01T00:39:08.000,1,19.50,2,N,132,246,1,52,0,0.5,9.21,6.12,0.3,70.63,2.5
1,2021-03-01T00:03:28.000,2021-03-01T00:15:29.000,2,6.20,1,Y,138,135,1,19,0.5,0.5,2,0,0.3,22.3,0
2,2021-03-01T00:03:31.000,2021-03-01T00:19:12.000,4,5.61,1,N,79,75,2,17.5,0.5,0.5,0,0,0.3,21.3,2.5
2,2021-03-01T00:03:32.000,2021-03-01T00:07:07.000,2,0.68,1,N,141,141,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2021-03-01T00:03:50.000,2021-03-01T00:06:48.000,1,1.00,1,N,161,230,1,5,3,0.5,1.75,0,0.3,10.55,2.5
2,2021-03-01T00:03:55.000,2021-03-01T00:16:04.000,1,3.19,1,N,24,50,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,2021-03-01T00:03:57.000,2021-03-01T00:12:43.000,1,2.72,1,N,140,100,1,9.5,0.5,0.5,1,0,0.3,14.3,2.5
,2021-03-01T00:03:57.000,2021-03-01T00:03:02.000,,1.47,,,265,35,,25.2,0,0.5,0,0,0.3,26,0
1,2021-03-01T00:04:00.000,2021-03-01T00:44:20.000,1,12.40,1,N,186,91,1,40,3,0.5,0,0,0.3,43.8,2.5
,2021-03-01T00:04:00.000,2021-03-01T00:10:00.000,,1.74,,,90,48,,8.09,0,0.5,2.34,0,0.3,13.73,2.5
2,2021-03-01T00:04:02.000,2021-03-01T00:13:29.000,1,1.92,1,N,161,186,2,9,0.5,0.5,0,0,0.3,12.8,2.5
1,2021-03-01T00:04:09.000,2021-03-01T00:15:18.000,1,1.60,1,N,144,4,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,2021-03-01T00:04:12.000,2021-03-01T00:30:34.000,1,16.20,1,N,132,123,2,44,0.5,0.5,0,0,0.3,45.3,0
2,2021-03-01T00:04:14.000,2021-03-01T00:17:49.000,2,2.57,1,N,116,41,2,11.5,0.5,0.5,0,0,0.3,12.8,0
2,2021-03-01T00:04:15.000,2021-03-01T00:14:51.000,2,3.61,1,N,162,75,1,12,0.5,0.5,2,0,0.3,17.8,2.5
1,2021-03-01T00:04:16.000,2021-03-01T00:25:23.000,2,5.20,1,N,186,42,2,19,3,0.5,0,0,0.3,22.8,2.5
1,2021-03-01T00:04:17.000,2021-03-01T00:31:03.000,1,19.70,1,N,132,33,1,52.5,0.5,0.5,13.4,0,0.3,67.2,0
1,2021-03-01T00:04:21.000,2021-03-01T00:11:15.000,1,1.00,1,N,233,164,1,6.5,3,0.5,2,0,0.3,12.3,2.5
2,2021-03-01T00:04:27.000,2021-03-01T00:09:18.000,1,2.01,1,N,263,233,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2021-03-01T00:04:45.000,2021-03-01T00:12:57.000,6,2.83,1,N,161,263,1,10,0.5,0.5,3,0,0.3,16.8,2.5
2,2021-03-01T00:04:56.000,2021-03-01T00:16:04.000,1,1.71,1,N,17,49,2,9,0.5,0.5,0,0,0.3,10.3,0
1,2021-03-01T00:05:02.000,2021-03-01T00:29:50.000,1,7.40,1,N,230,56,2,25,3,0.5,0,0,0.3,28.8,2.5
2,2021-03-01T00:05:04.000,2021-03-01T00:30:00.000,1,18.54,1,N,132,49,1,49.5,0.5,0.5,0,0,0.3,50.8,0
2,2021-03-01T00:05:15.000,2021-03-01T00:30:23.000,1,13.10,1,N,162,14,1,38,0.5,0.5,8.36,0,0.3,50.16,2.5
2,2021-03-01T00:05:15.000,2021-03-01T00:05:17.000,1,0.00,5,N,13,264,1,67,0,0.5,10,0,0.3,77.8,0
1,2021-03-01T00:05:23.000,2021-03-01T00:10:41.000,1,1.50,1,N,233,141,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5
2,2021-03-01T00:05:25.000,2021-03-01T00:37:46.000,1,16.54,1,N,132,257,1,46,0.5,0.5,9.46,0,0.3,56.76,0
1,2021-03-01T00:05:25.000,2021-03-01T00:15:22.000,1,3.10,1,N,138,7,1,11,0.5,0.5,1.1,0,0.3,13.4,0
1,2021-03-01T00:05:36.000,2021-03-01T00:19:55.000,1,8.00,1,N,132,76,1,23,0.5,0.5,4.7,0,0.3,29,0
2,2021-03-01T00:05:37.000,2021-03-01T00:09:40.000,1,0.69,1,N,24,151,1,5,0.5,0.5,1,0,0.3,7.3,0
2,2021-03-01T00:05:57.000,2021-03-01T00:06:15.000,1,0.00,1,N,141,141,4,-2.5,-0.5,-0.5,0,0,-0.3,-6.3,-2.5
2,2021-03-01T00:05:57.000,2021-03-01T00:06:15.000,1,0.00,1,N,141,141,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,2021-03-01T00:06:04.000,2021-03-01T00:10:49.000,1,1.10,1,N,161,186,1,6,3,0.5,0,0,0.3,9.8,2.5
2,2021-03-01T00:06:17.000,2021-03-01T00:12:29.000,1,1.44,1,N,236,239,1,7,0.5,0.5,3,0,0.3,13.8,2.5
2,2021-03-01T00:06:19.000,2021-03-01T00:57:01.000,1,28.82,1,N,55,248,1,79,0.5,0.5,0,6.12,0.3,86.42,0
2,2021-03-01T00:06:20.000,2021-03-01T00:09:12.000,1,0.65,1,N,75,75,1,4,0.5,0.5,2.7,0,0.3,8,0
2,2021-03-01T00:06:20.000,2021-03-01T00:16:31.000,5,3.42,1,N,237,74,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
2,2021-03-01T00:06:37.000,2021-03-01T00:20:27.000,1,6.15,1,N,132,197,1,18.5,0.5,0.5,3.96,0,0.3,23.76,0
2,2021-03-01T00:06:38.000,2021-03-01T00:12:47.000,1,1.64,1,N,48,164,1,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2021-03-01T00:06:40.000,2021-03-01T00:19:35.000,1,5.29,1,N,162,88,1,17,0.5,0.5,0,0,0.3,20.8,2.5
,2021-03-01T00:06:40.000,2021-03-01T00:29:19.000,,14.27,,,146,219,,44.62,2.75,0.5,0,0,0.3,48.17,0
2,2021-03-01T00:06:42.000,2021-03-01T00:25:13.000,1,16.81,2,N,132,256,1,52,0,0.5,5,0,0.3,57.8,0
1,2021-03-01T00:06:46.000,2021-03-01T00:07:39.000,1,0.00,1,N,211,144,3,2.5,3,0.5,0,0,0.3,6.3,2.5
1,2021-03-01T00:06:46.000,2021-03-01T00:25:39.000,1,8.50,1,N,186,42,2,25.5,3,0.5,0,0,0.3,29.3,2.5
2,2021-03-01T00:06:58.000,2021-03-01T00:07:10.000,1,0.00,1,N,132,132,2,2.5,0.5,0.5,0,0,0.3,3.8,0
,2021-03-01T00:07:00.000,2021-03-01T00:39:00.000,,7.38,,,229,225,,26.8,0,0.5,8.06,6.12,0.3,44.28,2.5
2,2021-03-01T00:07:14.000,2021-03-01T00:13:02.000,1,0.94,1,N,249,158,1,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2021-03-01T00:07:24.000,2021-03-01T00:32:47.000,1,19.14,2,N,132,263,1,52,0,0.5,9.21,6.12,0.3,70.63,2.5
2,2021-03-01T00:07:32.000,2021-03-01T00:34:42.000,2,20.97,1,N,132,25,2,55.5,0.5,0.5,0,0,0.3,56.8,0
,2021-03-01T00:07:32.000,2021-03-01T00:26:03.000,,7.92,,,137,69,,32.04,2.75,0.5,0,0,0.3,35.59,0
2,2021-03-01T00:07:33.000,2021-03-01T00:12:12.000,1,1.00,1,N,90,113,1,5.5,0.5,0.5,0.7,0,0.3,10,2.5
2,2021-03-01T00:07:34.000,2021-03-01T00:18:17.000,1,7.53,1,N,138,256,1,21.5,0.5,0.5,3,0,0.3,25.8,0
2,2021-03-01T00:07:35.000,2021-03-01T00:37:53.000,1,15.88,1,N,70,145,1,44,0.5,0.5,8.15,0,0.3,53.45,0
2,2021-03-01T00:07:37.000,2021-03-01T00:10:32.000,1,0.40,1,N,74,41,2,4,0.5,0.5,0,0,0.3,5.3,0
1,2021-03-01T00:07:40.000,2021-03-01T00:31:23.000,0,16.50,4,N,138,265,1,51,0.5,0.5,11.65,6.12,0.3,70.07,0
1,2021-03-01T00:07:42.000,2021-03-01T00:21:18.000,1,9.60,1,N,138,79,1,26.5,3,0.5,6.05,0,0.3,36.35,2.5
2,2021-03-01T00:07:51.000,2021-03-01T00:50:56.000,1,26.32,5,N,132,265,1,125,0,0.5,0,17.87,0.3,143.67,0
,2021-03-01T00:08:00.000,2021-03-01T00:27:00.000,,4.04,,,188,35,,25.45,2.75,0.5,0,0,0.3,29,0
,2021-03-01T00:08:00.000,2021-03-01T00:17:00.000,,1.43,,,246,170,,8.25,0,0.5,1.78,0,0.3,13.33,2.5
,2021-03-01T00:08:15.000,2021-03-01T00:14:35.000,,1.33,,,264,107,,7,0,0.5,1.83,0,0.3,12.13,2.5
2,2021-03-01T00:08:18.000,2021-03-01T00:13:17.000,1,1.09,1,N,41,151,1,6,0.5,0.5,2.7,0,0.3,10,0
2,2021-03-01T00:08:20.000,2021-03-01T00:26:38.000,1,12.06,1,N,138,132,2,32.5,0.5,0.5,0,0,0.3,33.8,0
2,2021-03-01T00:08:47.000,2021-03-01T00:26:04.000,2,4.74,1,N,90,263,1,17,0.5,0.5,5.2,0,0.3,26,2.5
2,2021-03-01T00:09:00.000,2021-03-01T00:27:19.000,1,8.62,1,N,162,244,1,25.5,0.5,0.5,2.9,0,0.3,32.2,2.5
2,2021-03-01T00:09:02.000,2021-03-01T00:19:56.000,1,3.60,1,N,141,260,2,12,0.5,0.5,0,0,0.3,15.8,2.5
